Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
ResNet-50,512,4,2,512.25
LeNet,512,4,2,762.75
ResNet-50,512,4,2,464.75
ResNet-50,512,4,2,328.5
ResNet-50,512,4,2,325.0
ResNet-50,512,4,2,320.5
ResNet-101,512,4,2,320.5
VGG-16,512,4,2,326.0
ResNet-50,512,4,2,326.5
ResNet-50,512,4,2,297.0
Inception-V3,512,4,2,274.5
AlexNet,512,4,2,339.5
ResNet-50,512,4,2,335.5
