Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,256,4,1,1477.25
LeNet,256,4,2,1440.25
LeNet,256,4,3,1494.25
LeNet,256,4,4,1521.75
ResNet-50,256,4,1,820.5
ResNet-50,256,4,2,1022.0
ResNet-50,256,4,3,1064.25
ResNet-50,256,4,4,1043.25
ResNet-101,256,4,1,545.75
ResNet-101,256,4,2,911.0
ResNet-101,256,4,3,1008.0
ResNet-101,256,4,4,1027.25
VGG-16,256,4,1,568.0
VGG-16,256,4,2,971.75
VGG-16,256,4,3,1012.25
VGG-16,256,4,4,1026.25
Inception-V3,256,4,1,525.25
Inception-V3,256,4,2,843.0
Inception-V3,256,4,3,869.0
Inception-V3,256,4,4,875.75
AlexNet,256,4,1,1030.75
AlexNet,256,4,2,1067.5
AlexNet,256,4,3,1073.5
AlexNet,256,4,4,1072.0
