Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,128,16,1,4689.5
LeNet,128,16,2,4490.75
LeNet,128,16,3,4567.75
LeNet,128,16,4,4347.0
ResNet-50,128,16,1,808.5
ResNet-50,128,16,2,1241.5
ResNet-50,128,16,3,1457.5
ResNet-50,128,16,4,1477.25
ResNet-101,128,16,1,532.0
ResNet-101,128,16,2,810.25
ResNet-101,128,16,3,963.25
ResNet-101,128,16,4,946.0
VGG-16,128,16,1,558.75
VGG-16,128,16,2,903.75
VGG-16,128,16,3,1200.5
VGG-16,128,16,4,1469.25
Inception-V3,128,16,1,515.25
Inception-V3,128,16,2,782.5
Inception-V3,128,16,3,897.0
Inception-V3,128,16,4,890.0
AlexNet,128,16,1,3157.5
AlexNet,128,16,2,3109.0
AlexNet,128,16,3,3057.0
AlexNet,128,16,4,3003.25
