Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,512,16,1,3355.75
LeNet,512,16,2,3277.5
LeNet,512,16,3,3123.25
LeNet,512,16,4,3227.0
ResNet-50,512,16,1,0
ResNet-50,512,16,2,1184.5
ResNet-50,512,16,3,1401.5
ResNet-50,512,16,4,1576.25
ResNet-101,512,16,1,0
ResNet-101,512,16,2,836.5
ResNet-101,512,16,3,1025.25
ResNet-101,512,16,4,1231.75
VGG-16,512,16,1,0
VGG-16,512,16,2,882.75
VGG-16,512,16,3,1151.5
VGG-16,512,16,4,1342.75
Inception-V3,512,16,1,0
Inception-V3,512,16,2,770.25
Inception-V3,512,16,3,914.5
Inception-V3,512,16,4,1054.0
AlexNet,512,16,1,2293.0
AlexNet,512,16,2,2252.0
AlexNet,512,16,3,2225.0
AlexNet,512,16,4,2143.0
