Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,32,16,1,4320.75
LeNet,32,16,2,4251.5
LeNet,32,16,3,3973.5
LeNet,32,16,4,3974.75
ResNet-50,32,16,1,714.0
ResNet-50,32,16,2,731.0
ResNet-50,32,16,3,617.75
ResNet-50,32,16,4,538.25
ResNet-101,32,16,1,463.25
ResNet-101,32,16,2,422.75
ResNet-101,32,16,3,350.0
ResNet-101,32,16,4,299.0
VGG-16,32,16,1,502.5
VGG-16,32,16,2,612.25
VGG-16,32,16,3,803.75
VGG-16,32,16,4,949.25
Inception-V3,32,16,1,443.75
Inception-V3,32,16,2,408.25
Inception-V3,32,16,3,353.5
Inception-V3,32,16,4,306.0
AlexNet,32,16,1,3067.5
AlexNet,32,16,2,2141.5
AlexNet,32,16,3,2179.25
AlexNet,32,16,4,2063.75
