PAPI_L1_DCM, PAPI_L2_DCM
1031551,85739
1031324,80415
1003386,76314
980670,83993
1002112,83533
1009160,80789
994366,71382
1014065,72989
1009285,77826
1062996,79548
1015736,87254
1025835,79026
1014095,79648
1003788,89063
1018761,81151
969100,60907
996423,76223
988368,70699
995778,81594
1029764,81244
1013238,87273
1000790,73907
1021201,81997
1018117,77300
1011924,83441
1047891,82318
1020502,79924
1002034,86143
993372,84773
1005634,77714
1071504,85273
1023241,84125
701508,17616
697501,18092
681703,18098
670851,11999
677096,19159
701224,16012
671610,15654
662639,15086
676528,20991
729882,20312
684829,21789
689870,20868
696562,18806
694205,16718
692195,16283
687918,14634
702953,20360
676614,16278
664805,15458
680993,14093
702567,15845
718359,16622
726346,17916
662969,11985
672382,17669
687811,18380
688259,19526
677562,17497
655838,11331
657630,17815
676770,16161
680608,14334
