Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,64,4,1,1457.5
LeNet,64,4,2,1483.5
LeNet,64,4,3,1500.25
LeNet,64,4,4,1487.5
ResNet-50,64,4,1,797.25
ResNet-50,64,4,2,1075.75
ResNet-50,64,4,3,1083.5
ResNet-50,64,4,4,1022.0
ResNet-101,64,4,1,512.5
ResNet-101,64,4,2,685.0
ResNet-101,64,4,3,665.75
ResNet-101,64,4,4,578.75
VGG-16,64,4,1,555.25
VGG-16,64,4,2,808.75
VGG-16,64,4,3,1069.0
VGG-16,64,4,4,1065.0
Inception-V3,64,4,1,505.25
Inception-V3,64,4,2,653.75
Inception-V3,64,4,3,641.5
Inception-V3,64,4,4,573.0
AlexNet,64,4,1,1100.25
AlexNet,64,4,2,1081.5
AlexNet,64,4,3,1083.0
AlexNet,64,4,4,1063.5
