Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,64,8,1,2736.25
LeNet,64,8,2,2646.25
LeNet,64,8,3,2700.0
LeNet,64,8,4,2601.0
ResNet-50,64,8,1,787.25
ResNet-50,64,8,2,1090.25
ResNet-50,64,8,3,1096.25
ResNet-50,64,8,4,987.5
ResNet-101,64,8,1,508.25
ResNet-101,64,8,2,682.25
ResNet-101,64,8,3,657.75
ResNet-101,64,8,4,575.0
VGG-16,64,8,1,551.75
VGG-16,64,8,2,798.0
VGG-16,64,8,3,1076.5
VGG-16,64,8,4,1311.25
Inception-V3,64,8,1,435.25
Inception-V3,64,8,2,599.25
Inception-V3,64,8,3,611.0
Inception-V3,64,8,4,571.25
AlexNet,64,8,1,2042.75
AlexNet,64,8,2,2022.5
AlexNet,64,8,3,2016.75
AlexNet,64,8,4,2027.75
