Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,128,32,1,4956.25
LeNet,128,32,2,4596.5
LeNet,128,32,3,4477.5
LeNet,128,32,4,4255.0
ResNet-50,128,32,1,763.0
ResNet-50,128,32,2,1109.75
ResNet-50,128,32,3,1309.5
ResNet-50,128,32,4,1323.5
ResNet-101,128,32,1,516.0
ResNet-101,128,32,2,766.25
ResNet-101,128,32,3,883.5
ResNet-101,128,32,4,889.5
VGG-16,128,32,1,537.75
VGG-16,128,32,2,832.5
VGG-16,128,32,3,1084.5
VGG-16,128,32,4,1270.75
Inception-V3,128,32,1,488.0
Inception-V3,128,32,2,717.5
Inception-V3,128,32,3,808.5
Inception-V3,128,32,4,789.5
AlexNet,128,32,1,2911.5
AlexNet,128,32,2,2560.0
AlexNet,128,32,3,2789.5
AlexNet,128,32,4,2788.25
