Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,128,8,1,2786.75
LeNet,128,8,2,2682.0
LeNet,128,8,3,2754.5
LeNet,128,8,4,2788.75
ResNet-50,128,8,1,820.25
ResNet-50,128,8,2,1281.5
ResNet-50,128,8,3,1523.75
ResNet-50,128,8,4,1547.5
ResNet-101,128,8,1,538.25
ResNet-101,128,8,2,834.0
ResNet-101,128,8,3,991.0
ResNet-101,128,8,4,982.25
VGG-16,128,8,1,570.0
VGG-16,128,8,2,926.25
VGG-16,128,8,3,1247.25
VGG-16,128,8,4,1538.25
Inception-V3,128,8,1,522.75
Inception-V3,128,8,2,812.5
Inception-V3,128,8,3,926.5
Inception-V3,128,8,4,917.75
AlexNet,128,8,1,2023.0
AlexNet,128,8,2,1973.0
AlexNet,128,8,3,2010.75
AlexNet,128,8,4,1945.75
