Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,512,4,1,1463.0
LeNet,512,4,2,1465.25
LeNet,512,4,3,1448.0
LeNet,512,4,4,1468.75
ResNet-50,512,4,1,0
ResNet-50,512,4,2,967.5
ResNet-50,512,4,3,925.25
ResNet-50,512,4,4,984.75
ResNet-101,512,4,1,0
ResNet-101,512,4,2,889.5
ResNet-101,512,4,3,942.0
ResNet-101,512,4,4,975.5
VGG-16,512,4,1,0
VGG-16,512,4,2,929.5
VGG-16,512,4,3,970.75
VGG-16,512,4,4,992.5
Inception-V3,512,4,1,0
Inception-V3,512,4,2,800.25
Inception-V3,512,4,3,824.0
Inception-V3,512,4,4,832.75
AlexNet,512,4,1,1028.0
AlexNet,512,4,2,1064.5
AlexNet,512,4,3,1045.75
AlexNet,512,4,4,1059.75
