Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,256,32,1,4161.25
LeNet,256,32,2,4172.5
LeNet,256,32,3,3843.75
LeNet,256,32,4,3711.75
ResNet-50,256,32,1,739.5
ResNet-50,256,32,2,1153.5
ResNet-50,256,32,3,1312.25
ResNet-50,256,32,4,1474.75
ResNet-101,256,32,1,513.25
ResNet-101,256,32,2,800.25
ResNet-101,256,32,3,966.75
ResNet-101,256,32,4,1090.25
VGG-16,256,32,1,526.5
VGG-16,256,32,2,843.0
VGG-16,256,32,3,1112.0
VGG-16,256,32,4,1294.25
Inception-V3,256,32,1,487.75
Inception-V3,256,32,2,727.5
Inception-V3,256,32,3,889.75
Inception-V3,256,32,4,1002.5
AlexNet,256,32,1,2523.75
AlexNet,256,32,2,2442.0
AlexNet,256,32,3,2464.0
AlexNet,256,32,4,2541.5
