Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,32,4,1,1498.5
LeNet,32,4,2,1483.5
LeNet,32,4,3,1456.25
LeNet,32,4,4,1501.0
ResNet-50,32,4,1,730.25
ResNet-50,32,4,2,743.5
ResNet-50,32,4,3,642.0
ResNet-50,32,4,4,551.75
ResNet-101,32,4,1,472.25
ResNet-101,32,4,2,428.75
ResNet-101,32,4,3,357.25
ResNet-101,32,4,4,302.25
VGG-16,32,4,1,511.0
VGG-16,32,4,2,628.0
VGG-16,32,4,3,836.0
VGG-16,32,4,4,997.75
Inception-V3,32,4,1,450.25
Inception-V3,32,4,2,393.5
Inception-V3,32,4,3,359.5
Inception-V3,32,4,4,309.25
AlexNet,32,4,1,1060.25
AlexNet,32,4,2,1088.0
AlexNet,32,4,3,1077.5
AlexNet,32,4,4,1083.75
