Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,32,64,1,4015.75
LeNet,32,64,2,3297.0
LeNet,32,64,3,2726.75
LeNet,32,64,4,2495.25
ResNet-50,32,64,1,659.0
ResNet-50,32,64,2,654.0
ResNet-50,32,64,3,576.5
ResNet-50,32,64,4,491.0
ResNet-101,32,64,1,437.25
ResNet-101,32,64,2,396.0
ResNet-101,32,64,3,331.75
ResNet-101,32,64,4,286.0
VGG-16,32,64,1,470.5
VGG-16,32,64,2,559.25
VGG-16,32,64,3,684.25
VGG-16,32,64,4,794.75
Inception-V3,32,64,1,413.5
Inception-V3,32,64,2,382.5
Inception-V3,32,64,3,340.25
Inception-V3,32,64,4,288.25
AlexNet,32,64,1,2017.75
AlexNet,32,64,2,1536.5
AlexNet,32,64,3,1450.25
AlexNet,32,64,4,1405.25
