Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,32,32,1,4667.0
LeNet,32,32,2,3878.5
LeNet,32,32,3,3304.5
LeNet,32,32,4,3255.0
ResNet-50,32,32,1,691.5
ResNet-50,32,32,2,677.75
ResNet-50,32,32,3,583.75
ResNet-50,32,32,4,509.25
ResNet-101,32,32,1,452.25
ResNet-101,32,32,2,405.75
ResNet-101,32,32,3,340.25
ResNet-101,32,32,4,292.0
VGG-16,32,32,1,489.75
VGG-16,32,32,2,590.25
VGG-16,32,32,3,758.5
VGG-16,32,32,4,871.0

Inception-V3,32,32,1,427.25
Inception-V3,32,32,2,394.75
Inception-V3,32,32,3,345.25
Inception-V3,32,32,4,296.25
AlexNet,32,32,1,2530.75
AlexNet,32,32,2,1796.25
AlexNet,32,32,3,1803.5
AlexNet,32,32,4,1705.75
