Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,32,8,1,2694.25
LeNet,32,8,2,2685.5
LeNet,32,8,3,2678.25
LeNet,32,8,4,2720.25
ResNet-50,32,8,1,727.5
ResNet-50,32,8,2,732.0
ResNet-50,32,8,3,642.75
ResNet-50,32,8,4,520.75
ResNet-101,32,8,1,469.75
ResNet-101,32,8,2,424.5
ResNet-101,32,8,3,354.5
ResNet-101,32,8,4,302.75
VGG-16,32,8,1,509.0
VGG-16,32,8,2,625.0
VGG-16,32,8,3,826.5
VGG-16,32,8,4,987.5
Inception-V3,32,8,1,445.75
Inception-V3,32,8,2,411.75
Inception-V3,32,8,3,356.0
Inception-V3,32,8,4,308.5
AlexNet,32,8,1,2053.5
AlexNet,32,8,2,1980.25
AlexNet,32,8,3,1999.0
AlexNet,32,8,4,1924.75
