Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,512,32,1,4778.5
LeNet,512,32,2,4572.25
LeNet,512,32,3,4364.75
LeNet,512,32,4,4283.75
ResNet-50,512,32,1,0
ResNet-50,512,32,2,1083.75
ResNet-50,512,32,3,1289.0
ResNet-50,512,32,4,1471.75
ResNet-101,512,32,1,0
ResNet-101,512,32,2,804.0
ResNet-101,512,32,3,997.75
ResNet-101,512,32,4,1155.0
VGG-16,512,32,1,0
VGG-16,512,32,2,838.5
VGG-16,512,32,3,1076.75
VGG-16,512,32,4,1219.25
Inception-V3,512,32,1,0
Inception-V3,512,32,2,696.0
Inception-V3,512,32,3,884.75
Inception-V3,512,32,4,958.0
AlexNet,512,32,1,2105.75
AlexNet,512,32,2,2086.75
AlexNet,512,32,3,2150.0
AlexNet,512,32,4,2095.5
