Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,512,8,1,2405.5
LeNet,512,8,2,2365.0
LeNet,512,8,3,2383.0
LeNet,512,8,4,2322.0
ResNet-50,512,8,1,0
ResNet-50,512,8,2,1212.75
ResNet-50,512,8,3,1482.75
ResNet-50,512,8,4,1550.75
ResNet-101,512,8,1,0
ResNet-101,512,8,2,873.75
ResNet-101,512,8,3,1084.0
ResNet-101,512,8,4,1288.5
VGG-16,512,8,1,0
VGG-16,512,8,2,929.75
VGG-16,512,8,3,1225.25
VGG-16,512,8,4,1445.25
Inception-V3,512,8,1,0
Inception-V3,512,8,2,810.75
Inception-V3,512,8,3,1034.0
Inception-V3,512,8,4,1158.0
AlexNet,512,8,1,1660.5
AlexNet,512,8,2,1663.5
AlexNet,512,8,3,1664.5
AlexNet,512,8,4,1660.5
