Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,64,16,1,4547.25
LeNet,64,16,2,4522.5
LeNet,64,16,3,4186.0
LeNet,64,16,4,4194.25
ResNet-50,64,16,1,774.75
ResNet-50,64,16,2,1070.25
ResNet-50,64,16,3,1068.0
ResNet-50,64,16,4,981.75
ResNet-101,64,16,1,503.0
ResNet-101,64,16,2,669.75
ResNet-101,64,16,3,641.75
ResNet-101,64,16,4,563.25
VGG-16,64,16,1,545.5
VGG-16,64,16,2,781.0
VGG-16,64,16,3,1048.25
VGG-16,64,16,4,1257.75
Inception-V3,64,16,1,495.25
Inception-V3,64,16,2,633.25
Inception-V3,64,16,3,623.75
Inception-V3,64,16,4,558.0
AlexNet,64,16,1,3358.5
AlexNet,64,16,2,2961.0
AlexNet,64,16,3,3125.5
AlexNet,64,16,4,2886.25
