Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,256,16,1,3964.0
LeNet,256,16,2,4006.75
LeNet,256,16,3,3729.25
LeNet,256,16,4,3838.75
ResNet-50,256,16,1,796.0
ResNet-50,256,16,2,1226.0
ResNet-50,256,16,3,1491.5
ResNet-50,256,16,4,1705.5
ResNet-101,256,16,1,533.5
ResNet-101,256,16,2,875.25
ResNet-101,256,16,3,1044.75
ResNet-101,256,16,4,1217.25
VGG-16,256,16,1,558.0
VGG-16,256,16,2,923.25
VGG-16,256,16,3,1239.75
VGG-16,256,16,4,1480.25
Inception-V3,256,16,1,504.75
Inception-V3,256,16,2,806.25
Inception-V3,256,16,3,1003.75
Inception-V3,256,16,4,1094.25
AlexNet,256,16,1,2786.25
AlexNet,256,16,2,2787.25
AlexNet,256,16,3,2643.5
AlexNet,256,16,4,2704.5
