Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
ResNet-50,256,8,1,811.5
ResNet-50,256,8,2,1318.25
ResNet-50,256,8,3,1608.5
ResNet-50,256,8,4,1756
ResNet-101,256,8,1,543.75
ResNet-101,256,8,2,902.25
ResNet-101,256,8,3,1097.5
ResNet-101,256,8,4,1272
VGG-16,256,8,1,564.5
VGG-16,256,8,2,953.25
VGG-16,256,8,3,1293.25
VGG-16,256,8,4,1587.25
Inception-V3,256,8,1,519
Inception-V3,256,8,2,848.25
Inception-V3,256,8,3,1041.5
Inception-V3,256,8,4,1181
LeNet,256,8,1,2471.75
LeNet,256,8,2,2489.25
LeNet,256,8,3,2412.25
LeNet,256,8,4,2415.5
AlexNet,256,8,1,1974
AlexNet,256,8,2,1933
AlexNet,256,8,3,2001.25
AlexNet,256,8,4,1960.25
