Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,128,4,1,1500.0
LeNet,128,4,2,1492.0
LeNet,128,4,3,1491.25
LeNet,128,4,4,1463.25
ResNet-50,128,4,1,824.5
ResNet-50,128,4,2,1058.5
ResNet-50,128,4,3,1079.25
ResNet-50,128,4,4,1081.75
ResNet-101,128,4,1,541.25
ResNet-101,128,4,2,830.5
ResNet-101,128,4,3,1001.0
ResNet-101,128,4,4,997.5
VGG-16,128,4,1,571.75
VGG-16,128,4,2,926.75
VGG-16,128,4,3,1083.75
VGG-16,128,4,4,1069.0
Inception-V3,128,4,1,525.5
Inception-V3,128,4,2,818.0
Inception-V3,128,4,3,902.0
Inception-V3,128,4,4,875.25
AlexNet,128,4,1,1094.75
AlexNet,128,4,2,1078.75
AlexNet,128,4,3,1095.5
AlexNet,128,4,4,1089.25
