Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,64,32,1,5235.0
LeNet,64,32,2,4551.5
LeNet,64,32,3,4003.25
LeNet,64,32,4,4202.5
ResNet-50,64,32,1,740.75
ResNet-50,64,32,2,983.5
ResNet-50,64,32,3,982.5
ResNet-50,64,32,4,907.0
ResNet-101,64,32,1,489.25
ResNet-101,64,32,2,634.0
ResNet-101,64,32,3,611.0
ResNet-101,64,32,4,552.25
VGG-16,64,32,1,525.0
VGG-16,64,32,2,733.75
VGG-16,64,32,3,963.25
VGG-16,64,32,4,1145.25
Inception-V3,64,32,1,480.75
Inception-V3,64,32,2,596.75
Inception-V3,64,32,3,589.5
Inception-V3,64,32,4,535.75
AlexNet,64,32,1,2938.5
AlexNet,64,32,2,2291.25
AlexNet,64,32,3,2358.0
AlexNet,64,32,4,2281.75
