Application,Cores,Running Time,Spread
is.W.x,32,0.13408374786376953,0
is.W.x,32,0.10043907165527344,1
is.A.x,32,0.1604156494140625,0
is.A.x,32,0.12847208976745605,1
is.B.x,32,0.264998197555542,0
is.B.x,32,0.21356439590454102,1
is.C.x,32,0.7030284404754639,0
is.C.x,32,0.6361515522003174,1
is.D.x,32,12.363380432128906,0
is.D.x,32,9.780872344970703,1
dc.A.x,32,14.299123525619507,0
dc.A.x,32,10.497843027114868,1
cg.W.x,32,0.05841662406921387,0
cg.W.x,32,0.04827165603637695,1
cg.S.x,32,0.02200425148010254,0
cg.S.x,32,0.019757469177246094,1
cg.B.x,32,2.221292018890381,0
cg.B.x,32,1.5001978874206543,1
cg.C.x,32,8.783517837524414,0
cg.C.x,32,4.4709553718566895,1
ep.W.x,32,0.10600805282592773,0
ep.W.x,32,0.10285449028015137,1
ep.S.x,32,0.08350133895874023,0
ep.S.x,32,0.06759357452392578,1
ep.B.x,32,1.106994390487671,0
ep.B.x,32,1.0952436923980713,1
ep.C.x,32,4.149804592132568,0
ep.C.x,32,4.083539724349976,1
mg.W.x,32,0.06826448440551758,0
mg.W.x,32,0.04254508972167969,1
mg.S.x,32,0.097831554412841797,0
mg.S.x,32,0.05903651237487793,1
mg.B.x,32,0.7006313800811768,0
mg.B.x,32,0.33059263229370117,1
mg.C.x,32,6.546035528182983,0
mg.C.x,32,3.378981351852417,1
cg.D.x,32,278.1208140850067,0
cg.D.x,32,147.72851014137268,1
lu.W.x,32,0.3496403694152832,0
lu.W.x,32,0.3504185676574707,1
lu.S.x,32,0.016894102096557617,0
lu.S.x,32,0.0168612003326416,1
lu.A.x,32,1.6461560726165771,0
lu.A.x,32,1.2630012035369873,1
lu.B.x,32,6.497204303741455,0
lu.B.x,32,4.603527307510376,1
lu.C.x,32,25.95733880996704,0
lu.C.x,32,17.25854468345642,1
lu.D.x,32,526.5045561790466,0
lu.D.x,32,309.73924112319946,1
