Application,Cores,Running Time
cg.W.x,64,0.04827237129211426
cg.W.x,60,0.06749629974365234
cg.W.x,56,0.09456157684326172
cg.W.x,52,0.04475593566894531
cg.W.x,48,0.09278655052185059
cg.W.x,44,0.06026864051818848
cg.W.x,40,0.045090675354003906
cg.W.x,36,0.04198408126831055
cg.W.x,32,0.03934144973754883
cg.W.x,16,0.04750418663024902
cg.W.x,8,0.04239535331726074
cg.W.x,4,0.06458473205566406
ep.W.x,64,0.08467864990234375
ep.W.x,60,0.09713220596313477
ep.W.x,56,0.08603787422180176
ep.W.x,52,0.11415672302246094
ep.W.x,48,0.09574222564697266
ep.W.x,44,0.07069563865661621
ep.W.x,40,0.1035165786743164
ep.W.x,36,0.0976722240447998
ep.W.x,32,0.0946345329284668
ep.W.x,16,0.16070222854614258
ep.W.x,8,0.12802720069885254
ep.W.x,4,0.23928403854370117
mg.W.x,64,0.09342217445373535
mg.W.x,60,0.7079277038574219
mg.W.x,56,0.39904212951660156
mg.W.x,52,0.6497693061828613
mg.W.x,48,0.8635330200195312
mg.W.x,44,0.40712690353393555
mg.W.x,40,0.42264580726623535
mg.W.x,36,0.4971628189086914
mg.W.x,32,0.07092142105102539
mg.W.x,16,0.12641668319702148
mg.W.x,8,0.025331497192382812
mg.W.x,4,0.04279327392578125
