Application,Cores,Running Time
cg.D.x,64,160.07083702087402
cg.D.x,60,160.75363445281982
cg.D.x,56,166.57262706756592
cg.D.x,52,180.30904531478882
cg.D.x,48,180.11822128295898
cg.D.x,44,185.3890609741211
cg.D.x,40,196.9274706840515
cg.D.x,36,211.2334430217743
cg.D.x,32,145.31547832489014
cg.D.x,16,275.22245025634766
cg.D.x,8,538.4104452133179
cg.D.x,4,726.0652897357941
mg.D.x,64,67.8266236782074
mg.D.x,60,75.03688597679138
mg.D.x,56,68.05945682525635
mg.D.x,52,72.29136753082275
mg.D.x,48,81.19116830825806
mg.D.x,44,75.02780818939209
mg.D.x,40,79.45819687843323
mg.D.x,36,74.45978903770447
mg.D.x,32,65.61124682426453
mg.D.x,16,122.44217944145203
mg.D.x,8,241.38867664337158
mg.D.x,4,254.5906686782837
ep.D.x,64,40.681140422821045
ep.D.x,60,48.437082052230835
ep.D.x,56,43.529818534851074
ep.D.x,64,39.84469389915466
ep.D.x,60,50.47905111312866
ep.D.x,56,46.37351846694946
ep.D.x,52,45.86570715904236
ep.D.x,48,51.816954374313354
ep.D.x,44,64.1890037059784
ep.D.x,40,64.26456785202026
ep.D.x,36,67.36651825904846
ep.D.x,32,64.07560157775879
ep.D.x,16,123.23615074157715
ep.D.x,8,236.16415166854858
ep.D.x,4,460.5396246910095
