Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
ResNet-101,512,32,2,740.25
ResNet-50,512,32,2,918.75
ResNet-101,512,32,2,726.0
LeNet,512,32,2,3955.25
ResNet-101,512,32,2,727.75
ResNet-101,512,32,2,691.5
ResNet-101,512,32,2,685.5
VGG-16,512,32,2,775.0
ResNet-101,512,32,2,703.5
ResNet-101,512,32,2,717.0
Inception-V3,512,32,2,616.0
AlexNet,512,32,2,1633.0
ResNet-101,512,32,2,700.0
