Model,Batch_Size,Num_Workers,Num_GPUs,Images/s
LeNet,512,1,2,367.25
LeNet,512,2,2,762.5
LeNet,512,4,2,1451.5
LeNet,512,8,2,2330.0
LeNet,512,16,2,3159.75
LeNet,512,32,2,5088.75
LeNet,512,64,2,4013.25
ResNet-50,512,1,2,255.75
ResNet-50,512,2,2,476.75
ResNet-50,512,4,2,846.25
ResNet-50,512,8,2,1187.0
ResNet-50,512,16,2,1140.0
ResNet-50,512,32,2,1117.75
ResNet-50,512,64,2,1041.25
ResNet-101,512,1,2,240.0
ResNet-101,512,2,2,439.75
ResNet-101,512,4,2,775.75
ResNet-101,512,8,2,864.5
ResNet-101,512,16,2,831.75
ResNet-101,512,32,2,842.75
ResNet-101,512,64,2,769.0
VGG-16,512,1,2,270.25
VGG-16,512,2,2,531.75
VGG-16,512,4,2,861.75
VGG-16,512,8,2,947.25
VGG-16,512,16,2,881.25
VGG-16,512,32,2,879.75
VGG-16,512,64,2,836.5
Inception-V3,512,1,2,206.25
Inception-V3,512,2,2,382.0
Inception-V3,512,4,2,652.75
Inception-V3,512,8,2,767.0
Inception-V3,512,16,2,755.25
Inception-V3,512,32,2,725.25
Inception-V3,512,64,2,643.25
AlexNet,512,1,2,269.25
AlexNet,512,2,2,526.5
AlexNet,512,4,2,976.5
AlexNet,512,8,2,1578.75
AlexNet,512,16,2,2123.5
AlexNet,512,32,2,2318.75
AlexNet,512,64,2,2043.25
