Application,Cores,Running Time
cg.S.x,64,0.03564167022705078
cg.S.x,60,0.030189037322998047
cg.S.x,56,0.028059959411621094
cg.S.x,52,0.04152059555053711
cg.S.x,48,0.03258681297302246
cg.S.x,44,0.0263211727142334
cg.S.x,40,0.03195905685424805
cg.S.x,36,0.036948204040527344
cg.S.x,32,0.017964839935302734
cg.S.x,16,0.018906116485595703
cg.S.x,8,0.012746810913085938
cg.S.x,4,0.014343500137329102
ep.S.x,64,0.11227536201477051
ep.S.x,60,0.08358144760131836
ep.S.x,56,0.08346271514892578
ep.S.x,52,0.07703375816345215
ep.S.x,48,0.08608722686767578
ep.S.x,44,0.07952117919921875
ep.S.x,40,0.07566618919372559
ep.S.x,36,0.08281826972961426
ep.S.x,32,0.07246136665344238
ep.S.x,16,0.09587764739990234
ep.S.x,8,0.06809806823730469
ep.S.x,4,0.15793323516845703
mg.S.x,64,0.0635380744934082
mg.S.x,60,0.13389325141906738
mg.S.x,56,0.3803582191467285
mg.S.x,52,0.6082816123962402
mg.S.x,48,0.7012977600097656
mg.S.x,44,0.5115656852722168
mg.S.x,40,0.24178528785705566
mg.S.x,36,0.31556153297424316
mg.S.x,32,0.035866737365722656
mg.S.x,16,0.013404607772827148
mg.S.x,8,0.006453990936279297
mg.S.x,4,0.005458831787109375
