PAPI_L1_DCM, PAPI_L2_DCM
401214533,187947081
503995803,258763892
460825519,234557134
514642700,250610128
341610531,154366337
374843357,172246151
426463949,213631747
493639379,253652986
342800010,158427574
478687261,243844504
488794422,253844609
451960166,229179632
474136623,242283422
493263118,253007994
473139457,248164883
520205172,260218118
507041760,262833233
542253756,296970177
488715963,262574751
475610405,232633303
500871910,267634992
518938885,272319696
485946392,260833373
496020081,252414280
505868807,274434461
474107422,242816131
443805014,221453756
478684664,255515620
501214970,264625675
490202145,246937533
464440375,229100603
492789199,252910147
378534567,173614006
502001379,242930222
439792693,219179199
495527976,239127114
323174762,143778353
359911793,166253843
413762661,205435498
477123933,239384877
325191911,149830206
469761817,232864289
468871800,238745157
429641187,210461230
457822594,226194813
472679533,239676947
442146888,227197165
496259320,238144407
494269286,247712259
529953496,278503050
462968051,243473335
458138457,215934907
484651748,252144095
490465923,255443751
464765766,241462056
466764311,240166880
491187151,259327564
460317490,229474756
416244431,206495744
463942601,237332175
478422892,251344111
469910861,243493961
442698342,216100369
470096830,246826231
