PAPI_L1_DCM, PAPI_L2_DCM
6129776,427370
6016364,455371
6140181,434086
6140379,462359
6123984,449926
6087439,462280
6231348,479861
6064875,453753
6032424,458003
5842643,429284
6272836,441325
6401463,468884
6247564,465552
6217453,462534
6093915,474272
6075700,420420
6200930,469457
6109817,465595
6191776,471947
6124969,430476
6009941,450820
5873195,443098
5980292,444658
6057740,468263
6411157,469566
6066302,465362
6245345,467221
6134546,435815
6122351,456629
6180885,448251
6108167,476729
6131178,480160
3444556,63357
3495315,89104
3480392,55205
3600102,54935
3573264,75637
3550308,72777
3573662,68233
3495054,68640
3454887,74193
3469505,76316
3541859,55543
3677380,76871
3505219,67653
3483761,88108
3613580,72387
3520394,56407
3524544,75457
3547831,64937
3496190,60252
3489570,70931
3591076,74812
3482373,73981
3575702,69096
3658593,76443
3540800,65354
3422950,65719
3491594,51257
3570408,71424
3642908,71007
3550366,76241
3641737,80303
3612740,61946
