PAPI_L1_DCM, PAPI_L2_DCM
156838525,73163028
158297962,74233060
162988945,77107942
158907017,74486385
160440457,74574168
158643532,74432195
161420476,75674467
160831600,75216501
158615587,73821876
162634162,75878981
159963427,74539194
159042891,74055075
158525741,74045178
161742095,75268065
159363430,74483146
162856264,76321933
158277072,73178435
160125317,74805758
156714684,73086358
160196529,74593161
155332904,72366092
163328686,76511761
155023759,72407495
164739437,77267960
159108889,74505066
161039735,75551046
160550792,74968076
165630215,78208044
157549898,73104052
159460757,74943530
159037885,74177724
161978553,75203260
134477219,47525697
133804324,47482919
134702801,48105633
131577764,46505894
131530765,46397949
117332329,39385701
129648988,45028671
135773381,48627135
128475684,44780254
134225188,47780702
134375369,47957302
133321712,47336612
130320546,45839236
134383277,47558917
130856682,45865283
134845765,48137002
129366117,45193704
134708980,48072387
131829825,46371378
134445315,47686827
131358744,46259198
134174498,47865129
133432672,47324756
131538247,46694314
127644180,44064448
128933856,44714453
133549984,47440224
133341053,47524726
132572219,46443961
130746319,46211368
132462590,46879112
129406517,45205983
